,sentences,raw_sentences
64,pretty explain issue quote tweet   drag image canvas long center snap ,Pretty much explained my issue in the quoted tweet ... dragging an image onto a canvas no longer center snaps it ....
65,hi jeffrey   able update lightroom classic cc   ,"Hi Jeffrey , were you able to update to Lightroom Classic CC ?    ."
66,hi   loop expert team help answer question ,"Hi there , I am looping our expert team to help answer your question ."
67,thank ,Thanks !
68,hi   change microsoft account email step   ,"Hi , you can change your Microsoft account email through the steps here : https://t.co/DkEhOHbOYy ."
69,email son want change associate microsoft account   need follow step switch email address account ,"If the email your son wants to change to is already associated with a Microsoft account , you 'll need to follow those steps to switch the email address on that account too ."
70,change son xbox live account hotmail account   currently link hotmail account ,"can I change me sons Xbox live account to his Hotmail account , currently linked to my Hotmail account ."
71,hi   lightroom   update launch recently   update app late version ,"Hi there , Lightroom 7.0.1 update was launched recently , please update the app to the latest version ."
72,u release update today lightroom classic cc   ,Did u release an update today for Lightroom Classic CC ? .
73,hi   dm ,"Hi there , please DM us you"
74,adobe d quick look account detail ,Adobe i d so that we may have a quick look at your account details .
75,,   https://t.co/iuwZCjz4Or .
76,unfortunately   able reproduce end ,"Unfortunately , we are not able to reproduce it at our end ."
77,check development team find ,I 'll still be checking with the development team to find out more on this .
78,,https://t.co/3giRhN4vNJ .
79,pretty widespread   mean jerk   frustrating update break core functionality ,"Seems pretty widespread : https://t.co/ImomzTHO5j 

 Do n't mean to be a jerk , but it 's frustrating when an update breaks core functionality .."
80,apparently new version cool feature export svg ,So apparently the new version of has this cool feature where you ca n't export SVGs .
81,sick update guy ,Sick update guys ..
82,hi duncan   update lightroom   follow link    ,"Hi Duncan , please update Lightroom to 6.13 from the following link : https://t.co/9vaI2tzHd6 . ."
83,worried update lr standalone programme lose new online version ,I 'm worried as if I update my LR6 standalone programme I could lose it due to the new online version ....
84,true fair   ,is this true and if so is this fair ! .
85,solve phone support ,Solved this via phone support .
86,hi   like help ,"Hi there , we would like to help ."
87,dm account email reservation code assist ,Please DM us your account 's email and reservation code so we can further assist .
88,thank ,Thank you ..
89,sorry hear ,We are sorry to hear this .
90,dm email address reservation code look ,Please DM your email address and reservation code so we can look into this for you .
91,thank ,Thank you ..
92,misrepresentation host ,Misrepresentation by host .
93,ask cancel reservation refund aud strict policy ,Asked them to cancel my reservation and refund me over AUD1700 strict policy .
94,response ,No response .
95,help ,Please help ..
96,hi ,Hi there !
97,recommend reach chat team   ,We 'd recommend reaching out to the chat team here : https://t.co/UrUi80i54l .
98,recommend keep eye email associate account info   ,We 'd recommend keeping an eye out on your email that is associated with your account for further info . .
99,answer question ,Already did they had me call and no one can answer the question .
100,try jerk ,I 'm not trying to be a jerk
101,nuts answer ,but it 's nuts no one has a answer ...
102,screen ,This is what 's on my screen ?
103,sure xbox break ,Not sure if it 's Xbox side or my5 side that 's broken ?
104,time head office ,Last time it was my5 as had to call head office about it !
105,,https://t.co/jnMIVOlNbS.
106,app xboxe work error code   power cycle ,"the 5 app on Xboxes not working error code 200 , done a power cycle and still the same ?"
107,fix app ,Please fix app .
108,hi loreen   kindly dm book number attach guest passport copy   fix   there- anwar ,"Hi Loreen , kindly DM us your booking number and attach guest passport copy , we 'll fix it for you , see you there!- Anwar ."
109,hi ,Hi !
110,dm u book   passport picture thank quick action ,I have DM u my booking # and passport picture thanks so much for quick action .
111,hi loreen   check passenger date birth airasia member account manage booking ,"Hi Loreen , you may check the passenger 's date of birth via AirAsia member account under manage booking ."
112,thank sha ,Thanks Sha .
113,check manage book online web check ,As you may check it under manage my booking online or during web check in .
114,date birth show accordingly- ed ,Date of birth will be shown accordingly.- Ed .
115,hi loreen ,Hi Loreen :)
116,kindly dm book number wish change flight assist thank anwar ,Kindly DM us the booking number that you wish to do change flight for us to assist you further Thanks Anwar .
117,hi ,hi !
118,book ticket itenary redundant ur customer service assist line ,I have booked my ticket and when i see my itenary has been redundant i call ur customer service to assist but out of line ..
119,sorry check booking expire payment ,Sorry as we checked booking has already expired due to no payment made .
120,kindly proceed new booking ed ,Kindly please proceed with new booking Ed .
121,lose booking   chua loreen lee flight z     taipei manila     email    ,lost my booking # chua loreen lee flight z2 129.128 12/22 01/8 taipei manila . _ _ email _ _ .
122,lose booking number ,Lost your booking number ?
123,worry   drop passenger   flight detail email ,"No worries , just drop me the passenger 's name , flight details and email ."
124,trace email u time   ,I 'll trace it and email u in no time :) .
125,hi emma   follow dm email reply send   yana ,"Hi Emma , Could you please follow us so we can DM you again with the email reply sent to you =) Yana ."
126,terribly sorry offer option flight operate normal ,We are terribly sorry but we could not offer any options since all the flight are operating as per normal .
127,passenger ,Passengers will be .
128,hi looreen ,Hi Looreen :)
129,kindly dm book number attach guest passport copy   fix   ,"Kindly DM us the booking number and attach guest passport copy , we 'll fix it for you , see you there !"
130,store buy   address card number sort ,"store you bought it from , along with your address and More Card number and I 'll get this sorted for you ."
131,thank kirsty ,Thanks Kirsty .
132,exactly issue have   ,What exactly is the issue you are having ? .
133,apology issue ,Apologies for all of the issues .
134,time chat securely   happy review   ,"If you have time to chat securely with me , I would be happy to review . ."
135,hi   sorry ,"Hi there , I am so sorry to her that ."
136,exactly issue have   ,what exactly is the issue you are having ? .
137,hi receive error message try link account   ,Hi are you receiving an error message when trying to link the account ? .
138,nt connect interactive broker   canada   yahoo finance app io   suggestion     ,"I ca nt Connect my Interactive Broker ( Canada ) with yahoo finance App in ios 11 , Any suggestions .. ? ? ."
139,work pm tomorrow ,I have to be at work at 2 pm tomorrow .
140,new phone overnighte ,My new phone is being overnighted but it may not be there until then .
141,ride ,I have no other ride ..
142,glad check ,Glad to check .
143,pls   dm confirmation number assistance ,"Pls , DM your confirmation number for assistance ."
144,  qb m book flight delta amex card ,* QB https://t.co/6iDGBJAc2 m. i booked my flight using delta amex card .
145,check   amp   charge baggage ,Checking in now & amp ; was being charged for baggage .
146,like look ,We 'd like to take a further look into this with you !
147,reach phone chat   ,Please reach us by phone or chat here : https://t.co/hApLpMlfHN .
148,unable affect account twitter ,I am unable to affect your account via Twitter .
149,real time support   phone chat use link   ,"For real time support , phone or chat use this link : https://t.co/hApLpMlfHN ."
150,want amazon payment account close ,I want my amazon payments account CLOSED .
151,dm ,dm me please ..
152,sorry wait ,I 'm sorry for the wait .
153,receive email soon estimate delivery date ,You 'll receive an email as soon as we have an estimated delivery date .
154,guy figure xbox x project scorpio edition ,How about you guys figure out my Xbox One X project Scorpio edition first .
155,expect delivery shipping date s week away ,No expected delivery or shipping date and it ’s only a week away .
156,sorry order arrive condition ,I 'm sorry your order arrived in this condition !
157,reach available option   ,Please reach out to us for available options : https://t.co/JzP7hlA23B .
158,package accidentally open   item miss worth ,my package was ‘ accidentally ’ opened .. 4 items missing worth £ 97 .
159,need well delivery driver   ,You need better delivery drivers ! !
160,,https://t.co/f6SaVBSMqM.
161,order local courier day nt deliver   ,why is my order at my local courier for the last 6 days and still has n’t been delivered to me ? ?
162,week late ,Over 1 week late 😡 .
163,able reach link dw provide ,Were you able to reach us at the link DW provided ?
164,buy echo wo nt recognize single account household ,Bought an Echo Show and it wo n’t recognize a single account in our household .
165,wtf   guy   ,"WTF , guys ? ."
166,request martin ,You can also request a call back here Martin https://t.co/zH8UlhTGcc .
167,current order have difficulty ,Is there a current order you 're having difficulties with ?
168,let know   like help ,"Please let us know , we 'd like to help !"
169,start return ,Already started the return .
170,up get doorstep tomorrow ,UPS gets it from my doorstep tomorrow .
171,order ,Order 111 5014070 4118645 .
172,provide detail   team escalate order amazon logistic feedback ,Provide your details here : https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback .
173,let know s ,Let us know if there ’s anything else we can do for you !
174,happy help way ,We 're happy to help out any way we can !
175,oh ,Oh no !
176,contact phone   chat ,Please contact us via phone / chat here : https://t.co/JzP7hlA23B
177,unable view order detail twitter ,We 're unable to view order details via Twitter .
178,delivery pay today   do nt arrivewhy noti pay itwhere itim unhappyrefund delivery charge ,"delivery I paid for today , didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge ."
179,oh ,Oh my !
180,sorry trouble ,I 'm sorry for the troubles !
181,contact phone chat    amp   glad help ,Contact us by Phone or Chat : https://t.co/JzP7hlA23B & amp ; we 'll be glad to help !
182,send feckin   order germany ,They sent the feckin ' order to Germany !
183,dozy driver look address wrong country ,Some dozy driver is looking for an address in the wrong country !
184,amazon   ,I 'm so done with Amazon ! .
185,okay ,That 's okay !
186,thank check ,Thanks for checking !
187,contact phone chat look   ,Please contact us by phone or chat and we can look into this : https://t.co/hApLpMlfHN .
188,sorry trouble cause   contact lend hand   ,I 'm sorry for the trouble this has caused you ; please contact us so we may lend you a hand : https://t.co/hApLpMlfHN .
189,share detail    gijyeyqke ,Please share your details here : https://t.co / GIJyeYqKE0
190,,and I 'll get back to you .
191,  ,2/2 .
192,detail send ,Details sent .
193,check ,Please check ..
194,thank confirm detail share ,Thanks for confirming that the details have been shared .
195,team look reach shortly ,Our team will give it a look and reach out shortly .
196,report support team   look ,Please report this to our support team here : https://t.co/TdDksLo6Mf and we 'll look into this .
197,  ,2/2 .
198,offer discount eligible physical game pre order ,We still offer discounts on eligible physical game pre orders .
199,detail prime benefit   ,For further details on Prime benefits : https://t.co/80y2YnlQGJ .
200,sorry let ,I 'm sorry we let you down !
201,like sure address ,We 'd like to make sure this is addressed .
202,provide detail   ,Please provide some details here : https://t.co/z6evtFsZI5 .
203,pull   amazon delivery bush   amzl people nt walk extra ft door ,Just pulled another # Amazon delivery out of the bushes since the # amzl people ca n’t walk the extra 2 ft to my door .
204,tired   let close look issue ,So tired of this .. Lets take a closer look into this issue .
205,select follow link join dm ,Select the following link to join us in a DM and we 'll go from there .
206,  try reset setting   restart phone   ,https://t.co/GDrqU22YpT. Tried resetting my settings .. restarting my phone .. all that .
207,iphone plus yes ,I️ have an iPhone 7 Plus and yes I️ do .
208,centre close night   ,are the call centres closed for the night ? .
209,hello   internet ,"Hello , internet ."
210,explain symbol keep appear phone try type letter ,Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️ ?
211,,Also https://t.co/QKwvTLtiN7 .
212,ve get screenshot say   iphonex reserve rd email say s th ,I ’ve got a screenshot saying my # iPhoneX is reserved for the 3rd then an email saying it ’s the 18th ...
213,happen   ,what happened ? .
214,iphone s plus recent update ,I have the iPhone 6s Plus and just did the most recent update ..
215,thank update phone slow barely work ,Thank you I updated my phone and now it is even slower and barely works .
216,thank ruin phone ,Thank you for ruining my phone. 😤 .
217,pleasure ,Our pleasure .
218,have issue update   contact ,"If you 're still having issues after a back up and update , contact us back ."
219,happy help ,We 're happy to help ..
220,iphone plus ,iPhone 7 Plus 😊 .
221,need software update urgently ,I need the software update urgently .
222,battery last literally half day ,The battery lasts literally half a day 🙍 🏼 🙁 .
223,release io   ,We 've just released iOS 11.1 .
224,suggest back   amp   update ,We suggest backing up & amp ; updating .
225,  test issue ,"Then , test the issue again ."
226,  ,Here 's how : https://t.co/80YRnjDFDk .
227,let help home button ,Let us help with your Home button .
228,issue start right io ,Did this issue start right after iOS 11 ?
229,version io run   ,Which version of iOS 11 are you running ? .
230,hey ,Hey !
231,time download update freaking phone give hell ,Last time I downloaded an update my freaking phone gave me hell .
232,recommendation   ,Any recommendations ? .
233,app ,The app is still there .
234,long able control lockscreen ,But no longer able to control it from the lockscreen ..
235,thank reach ,Thanks for reaching out to us .
236,experience miss app restate device   ,Are you experiencing the missing app after restating your device ? .
237,update   io spotify lock screenapplesupport ,After update # ios1103 no spotify on my lock screen?@AppleSupport .
238,happy follow ,Happy to follow up !
239,contact connect ,Contact us via https://t.co/1xM0TILvAI so we can connect ..
240,apologize trouble ,We apologize for the trouble !
241,send dm email address connect ,Send us a DM with your email address and we 'll connect ..
242,help ,We 're here to help !
243,send note   team touch ,"Send us a note here , https://t.co/WFtPA6RjWt and our team will be in touch .."
244,phone number   ,Why is there no phone number ? ?
245,literally strand wait automate reply ridiculous ,I 'm literally stranded and now I have to wait for an automated reply this is ridiculous .
246,sorry hear experience ,We 're sorry to hear this was your experience .
247,send dm email address connect   ,Can you send us a DM with your email address so we can connect ? .
248,literally strand support phone number wait message smh ,Literally stranded because of and because there is no support phone number I have to wait from a message from Smh 🤦 🏾‍ ♂
249,sorry hear experience   ray ,"We 're sorry to hear this was your experience , Ray ."
250,contact touch ,Please contact us via https://t.co/aBEgvdNWQN and we 'll be in touch ..
251,hi cade   thank send ,"Hi Cade , thanks so much for sending that over ."
252,send email store manager look ,I have sent an email to the Store Manager to look into this for you .
253,  ,1/2 .
254,sorry ,I 'm sorry .
255,early flight available time schedule change ,The earlier flight may not have been available at the time of your scheduled change .
256,  tmt ,* TMT .
257,check daily flight offer option certainly adjust trip ,I checked daily and flight 1403 was never offered as an option as I most certainly would have made the adjust on my trip ..
258,apology ,My apologies .
259,flight show search   mean ,"If that flight never showed up on your search , that would mean it was full ."
260,  tmt ,* TMT .
261,early flight offer try rebook   cool ,"why was n't earlier flight offered when I tried to rebook , not cool at all ."
262,happen look moniter deplane ,Just happened to look at moniter after deplaning ..
263,share additional detail nature technical issue ,Please share additional details about the nature of this technical issue .
264,  afc ,* AFC .
265,technical issue ben fix ,It seems this technical issue still has n't Ben fixed .
266,look ,   Can you look into it again ?
267,,🙆 🏼‍ ♂
268,sincerely apologize   team diligently work   work soon ,"I sincerely apologize , our IT team is diligently working on it , we should have it up and working very soon ."
269,  tmc ,* TMC .
270,hi thank ,Hi and thanks .
271,think figure ,Think I just figured this out .
272,run mex mid flight ,Would it be you ’re not running the MEX MID flight
273,need check aeromexico   ,so I need to check in via AeroMexico ? .
274,hi   richard ,"Hi , Richard ."
275,pls dm confirmation number look matter ,Can you pls DM your confirmation number so I may look into this matter for you ?
276,thank ,Thanks !
277,  tjf m ,* TJF https://t.co/6iDGBJAc2 m.
278,hi caesar   dm confirmation   link provide ,"Hi Caesar , can you DM your confirmation # to the link provided ?"
279,glad look ,I will be glad to look into this for you .
280,  tbt m ,   * TBT https://t.co/6iDGBJAc2 m.
281,include link commitment customer   let know assistance ,"I am including a link of our Commitment to our customers , please let us know if we can be of further assistance ."
282,  hck ,* HCK .
283,unfortunately   able guarantee seat flight schedule ,"Unfortunately , we are not able to guarantee seats nor flight schedules ."
284,  hck ,* HCK .
285,regret happy information give apologize able address concern channel    ,I regret that you are n't happy with the information given and apologize for not being able to address your concerns via this channel .... 1/2 .
286,like sincerely apologize stress   frustration   inconvenience endure equipment change ,"I would like to sincerely apologize for the stress , frustration , and the inconvenience that you endured due to an equipment change ."
287,  hck ,* HCK .
288,nt work try delete app ,does n’t work and i even tried deleting the app .
289,send dm account email address ,Could you send us a DM with your account 's email address ?
290,look backstage ch ,We 'll take a look backstage /CH https://t.co/ldFdZRiNAt .
291,premium   amp   shuffle turn song play order repeat light nt repeat ,Premium & amp ; when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but does n’t repeat .
292,iphone ,iphone 7 +
293,recent update spotify ,and i have the most recent update for spotify .
294,yes   multiple time ,"Yes , multiple times ."
295,change ,No changes .
296,premium user send user spotify bugfree run app ,I am Premium User an when send us users to Spotify there should be a bugfree running App 🤨 .
297,sorry hear ,Sorry to hear that .
298,spotify app window phone currently maintenance mode ,The Spotify app on Windows Phone is currently in maintenance mode .
299,info   rs ,More info here : https://t.co/KSq4qse4dE /RS .
300,hey ,Hey there !
301,sound good ,That does n't sound good .
302,happen exactly ,What 's happening exactly ?
303,let know app version ,Can you let us know the app version you 're using ?
304,pb ,/PB .
305,groove music quit   amp   redirect spotify ,Groove Music quits & amp ; redirect to Spotify .
306,w m app bugf ,But the W10 M App is a bugfest ..
307,update possible   ,Any further Updates possible ? .
308,dm book reference   email address contact number ,"Please can you DM us your booking reference , email address and contact number ?"
309,look ,We can then look into this for you .
310,thank ,Thanks .
311,itinerary prefer unable view option   manage book   link include original cancelation email ,"This itinerary is preferred I was unable to view other options in the "" Manage my Booking "" link included in the original cancelation email ."
312,,https://t.co/kfddWeSW49 .
313,hi ,Hi !
314,flight man lhr bwi nov cancel ,My flight from MAN LHR BWI for Nov. 3 was canceled .
315,excited try club product ,I was excited to try your Club 787 product .
316,available flight iad hassle   rebooke option ,"Only available flight is now to IAD which is a hassle , but rebooked anyway my only option !"
317,availability class ba trouble   ,Any availability in first class on BA293 for the troubles please ? .
318,email address contact telephone number ,email address and contact telephone number .
319,look complaint contact update    ,We 'll look into your complaint and contact you for an update 2/2 . .
320,info ,You have all my info .
321,check sanket thakur ,Check with Sanket Thakur .
322,supposedly     customer service   rep ,"Supposedly , he / she is a "" customer service "" rep ."
323,reference number   address complaint   claim ,Reference number is 16934380 .. will you ever address my complaint / claim ?
324,  ignore yrs   ,"Or , do you just ignore it until the 2 yrs are up ? ."
325,email address contact telephone number ,email address and contact telephone number .
326,apologise delay response    ,We apologise for the delay in our response 2/2 . .
327,booking ref mpv qma second son   send info tell entitle   ,"Booking ref MP79V2 and QMAS91 second one is my son 's , have sent all info in being told I 'm not entitled to anything ? ."
328,booking ref   email address contact number ,"us your booking ref , email address and contact number ."
329,  ,2/2 .
330,pay hotel good bill cancel flight home ,Will you pay me my hotel and good bill for cancelling my flight home .
331,confirm email send passport detail change ticket    email     ,can I just confirm the email that would send passport details to change a name on a ticket is _ _ email _ _ ? .
332,thank sreejit   recommend check manage booking update ,"Thanks Sreejit , we would recommend checking on Manage My Booking for any updates ."
333,hour ,It 's been 24 hours now .
334,assist ,Could you please assist ?
335,thank ,Thanks .
336,email address    email    ,My email address is _ _ email _ _ .
337,,"Not yet ,"
338,think strange receive confirmation email flight   ,"but I thought it was strange that I received a confirmation email for one of the flights , but not the other ."
339,thank ,Thanks ..
340,hi david   let know flight book date travel   contact number ,"Hi David , could you let us know the flights you 've booked and dates of travel , along with your full name and contact number ."
341,thank   ,Thanks . .
342,check   david ,"We 'll check this for you , David ."
343,provide booking reference confirmation ,Can you provide us with the booking reference for the confirmation you have ?
344,send dm ,Please send this via DM .
345,booking   receive confirmation email flight ,"I made two bookings , but only received a confirmation email for one of the flights ."
346,little help   ,Little help ? .
347,definitely want sure charge correct ,I definitely want to make sure your charges are correct .
348,dm address phone ,Please DM me your address and phone #
349,well assist ,so I can better assist .
350,address   phone number assist issue ,"address , and phone number so I can assist further with this issue ."
351,thank ,Thanks !
352,hi   happy look text receive help ,"Hi , I 'll be happy to look into the text you received and see what I can do to help ."
353,send dm   ,"Please send a DM with your full name , ."
354,phoenix sun auto record ,Phoenix Suns are on auto record .
355,nba team channel try record tonight ,NBA Team Channel 752 trying to record tonight .
356,want regular broadcast game record like tivo ,I only want regular broadcast games recorded like TiVo does ..
357,set recording sport team try record available network ,If you set a recording for a sports team it will try to record it on any available network .
358,matt ,Matt .
359,thank reply ,Thanks for your reply
360,say update software ,but that 's why I said Update your Software .
361,know record unavailable channel   software ,"If knows not to record on an unavailable channel , it 's software .."
362,send direct message account information go ,and send us a Direct Message with your account information so that I can see what 's going on .
363,xg ,– XG .
364,erica lax team amazing raise ty ,Erica on the lax team is amazing give her a raise ty .
365,lax team available guide gate asap ,Could you have someone on your lax team available to guide me to my gate ASAP .
366,flight pm   min ,have a flight at 330pm ( 45mins )
367,m lax ,I ’m almost to Lax .
368,m legally blind nt know let know need assistance ,I ’m legally blind and did n’t know where to let you know I need assistance ..
369,pleasure board   john ,"It 's always a pleasure to have you on board , John ."
370,wonderful flight pond   ,Have a wonderful flight over the pond ! .
371,thank   play   thisisus have great flight attendant flight home   ,"Thank you , for playing # ThisIsUs and for having great flight attendants on my flight back home ! ."
372,ready iphone ,Be ready for your next iPhone .
373,join iphone upgrade program free ,Join our iPhone upgrade program for free !
374,,"
  https://t.co/ELb8YQspF6 ."
375,  happy look go   jenny ,"Well , we 'd be happy to take a look at that and see what 's going on , Jenny ."
376,dm   connect ,"DM us , we 're here to keep you connected ."
377,  joano ,* JoanO.
378,unhappy experience contact website   ,If you 're unhappy with your experience on this call please contact us on our website : https://t.co/rkAZcF6uR3 .
379,need contact aftersale team ,You 'd need to contact our Aftersales team on 0344 556 5650 from 8 am .
380,hi ,hi !
381,need help book need change   mistake ,"i need some help with a booking i need to change , and made a mistake on ."
382,contact   ,who can i contact ? .
383,get ta luv finally cntr   try charge ticket b purchase online   thank   ,"Got ta luv finally get 2 call cntr , they tried to charge me £ 176 for a ticket which can b purchased for £ 88 online https://t.co/I7rkohYqaI. Thanks , see it now ."
384,real shame poor new app ,Real shame about how poor the new App is though ..
385,hi- new app option buy open return   ,Hi- does the new app have an option to buy an open return ? .
386,  vtnew emergency service deal incident preston line close ,# VTNEW Due to the emergency services dealing with an incident at Preston all lines are closed ..
387,sadly service delay fault line ,Sadly the service has been delayed due to a fault on the line .
388,time year   miss meeting especially take train place ,"For at least the third time this year , I will miss the meeting I especially took the train for in the first place ."
389,late ,So often late .
390,refund   qualify   ,"No refund because it "" does n't qualify "" ."
391,season   car ,Next season = car ..
392,happy hallown ,Happy HalloWN !
393,bottom   risa   ,"Bottoms up , Risa ! ."
394,celebrated halloween flight pumpkin spice delicious   free ,Celebrated Halloween on a flight with my pumpkin spice and a delicious ( free )
395,o   ,O … https://t.co/GGPGaaFVq2 https://t.co/gnCxPEsaEv .
396,oh good ,Oh good !
397,happy hear   jenessa ,"Happy to hear that , Jenessa ."
398,hope onboard soon ,We hope to see you onboard soon !
399,hm   report error lately ,"Hm , we have n't had any reported errors lately ."
400,try access rr account different browser ,Have you tried accessing your RR account via a different browser ?
401,account page ,is down on the my account page 😑 😑 .
402,hi simon ,Hi Simon !
403,m sorry hear ,I ’m sorry to hear this !
404,sound like account compromise ,Sounds like your account may have been compromised .
405,strongly advise contact security team   gt   nt   sure ensure account fully secure ,"I strongly advise you to contact our security teams & gt ; https://t.co/hV7XdVcjA7 if you have n’t already done so , to make sure you do to ensure your account is fully secured ."
406,thank update simon ,Thanks for the update Simon !
407,let know s help ,Please let us know if there ’s anything we can help you with !
408,great day ,Have a great day !
409,change password turn step verification    receive paypal receipt van reverse camera random delivery address walthamstow ,"Change your password and turn on two step verification or else you , too , may receive a paypal receipt for a van reversing camera with a random delivery address in Walthamstow .."
410,love free boo   basically ghost ,"We love to give out free boos so much , we 're basically ghosts !"
411,happy hallown bottom ,Happy HalloWN and bottoms up !
412,music ear ,That 's music to our ears !
413,southb reason ,They call us Southbest for a reason .
414,,Me to !
415,super excited   try entire trip   time know good time y ,"I 'm super excited , get to try this entire trip all over again , and at least this time I know I 'll have the best time due to y' all ☺ ️."
416,see end month concert miss flight american airline   thank guy ,"You 'll be seeing me at the end of this month for the concert I missed my flight for because of American Airlines , thank you again guys 💕 ."
417,guy help try flight   amazing company   amazing people   thank ,"You guys helped me so much trying to get me on a flight that was not even through yours , amazing company , amazing people , thank you so much 💕 ."
418,helped try flight flight aa ,helped me out to try to get through to my flight when my did n't and my flight was with AA .
419,wow ,Wow .
420,loss word ,Loss for words .
421,happy look   christine ,"Happy to take a look into this , Christine ."
422,dm confirmation number ,Please DM us your confirmation number
423,follow ,so we can follow up .
424,receive error try check ,Why would we be receiving errors when we try to check in ?
425,flight take get error message ,Our flight takes off at 4 but we keep getting error messages ....
426,item mark deliver   system let contact ebay customer service directly ,"The item has been marked as delivered , and the system would not let me contact ebay customer service directly ."
427,seller fault   mismanage shipment delivery ,"It was not sellers fault , it was mismanaged somewhere between shipment and delivery ."
428,file claim   ,Still file a claim ? .
