,sentences,raw_sentences
61,excited try club product ,I was excited to try your Club 787 product .
62,available flight iad hassle   rebooke option ,"Only available flight is now to IAD which is a hassle , but rebooked anyway my only option !"
63,availability class ba trouble   ,Any availability in first class on BA293 for the troubles please ? .
64,pay hotel good bill cancel flight home ,Will you pay me my hotel and good bill for cancelling my flight home .
65,flight pm   min ,have a flight at 330pm ( 45mins )
66,m lax ,I ’m almost to Lax .
67,m legally blind nt know let know need assistance ,I ’m legally blind and did n’t know where to let you know I need assistance ..
68,thank   play   thisisus have great flight attendant flight home   ,"Thank you , for playing # ThisIsUs and for having great flight attendants on my flight back home ! ."
69,ready iphone ,Be ready for your next iPhone .
70,join iphone upgrade program free ,Join our iPhone upgrade program for free !
71,,"
  https://t.co/ELb8YQspF6 ."
72,code work apply checkout ,The code is not working when applied at checkout .
73,look ,Can you please look into this ?
74,t daughter euston train stick outside preston ,https://t.co/SJvM7AW24 t. My daughter is on the Euston train stuck just outside Preston .
75,timeframe arrival   ,Any timeframes for arrival ? .
76,time year   miss meeting especially take train place ,"For at least the third time this year , I will miss the meeting I especially took the train for in the first place ."
77,late ,So often late .
78,refund   qualify   ,"No refund because it "" does n't qualify "" ."
79,season   car ,Next season = car ..
80,celebrated halloween flight pumpkin spice delicious   free ,Celebrated Halloween on a flight with my pumpkin spice and a delicious ( free )
81,o   ,O … https://t.co/GGPGaaFVq2 https://t.co/gnCxPEsaEv .
82,work ,Its working again .
83,account page ,is down on the my account page 😑 😑 .
84,change password turn step verification    receive paypal receipt van reverse camera random delivery address walthamstow ,"Change your password and turn on two step verification or else you , too , may receive a paypal receipt for a van reversing camera with a random delivery address in Walthamstow .."
85,see end month concert miss flight american airline   thank guy ,"You 'll be seeing me at the end of this month for the concert I missed my flight for because of American Airlines , thank you again guys 💕 ."
86,guy help try flight   amazing company   amazing people   thank ,"You guys helped me so much trying to get me on a flight that was not even through yours , amazing company , amazing people , thank you so much 💕 ."
87,helped try flight flight aa ,helped me out to try to get through to my flight when my did n't and my flight was with AA .
88,wow ,Wow .
89,loss word ,Loss for words .
90,receive error try check ,Why would we be receiving errors when we try to check in ?
91,flight take get error message   need assistance ,Our flight takes off at 4 but we keep getting error messages .... need assistance .
92,buy item   deliver saturday ,"Bought item , due to be delivered Saturday ."
93,receive item   despite marked deliver ,"Never received item , despite being marked as delivered ."
94,response seller   delivery service assist lose   miss package ,"No response from seller , delivery services can not assist with lost / missing package ."
95,advise ,Please advise ..
96,save big good selling phone    amp   free upgrade phone consecutive time payment   nt order online   say   connect chipotle supercomputer   ,"Save big our best selling phones , & amp ; get FREE Upgrades to any phone after 12 consecutive on time payments https://t.co/yvX1tLnLlZ. ca nt order online , says "" can not connect to chipotle supercomputer . """
97,app ,on the app ..
98,receive bill oct disconnected account sept th ,Why am I still receiving a bill for oct when I disconnected by account on sept 20th ?
99,pls advise   amp   reverse charge ,pls advise & amp ; reverse the charges .
100,tf internet go bullshit ,why tf does my internet keep going down this is bullshit .
101,set paypal account ,I set up a paypal account before i was 18 .
102,fair play   bad ,"Fair play , my bad ."
103,wonder shut account restart m   ,Was wondering if i could shut down the account so i can restart it now i m 18 ? .
104,locked account hrs ,Been locked out of my account for 2 hrs .
105,different agent reset account   amp   dice soon phone ,2 different agents have “ reset my account for me ” & amp ; still no dice as soon as they get off phone .
106,account tell reset password ,My account is telling me to reset my password
107,nt know date birth ,but i do nt know my date of birth
108,know password account ,but i know my password for the account .
109,help ,help .
110,billing issue   update exp date acct    ps able renew ,"Less a billing issue ( I updated the exp date in acct ) , more ps+ was n't able to renew ."
111,sure stay current   lose   ,How do i make sure it stays current / not lose anything ? .
112,get account change email ,someone got to my account and changed the email .
113,hey gon na need talk pende charge go account day transaction ,Hey we 're gon na need to talk about all these pending charges that keep going through my account 5 days after the transaction was made ....
114,get real irritated ,I 'm getting real irritated ..
115,get phone   guy great   ,"Just got off the phone with them , you guys were great ! ."
116,find e mail online ,I could n't find an e mail online .
117,apartment address number   update ensure card get   ,"You have my apartment address but not my number , how can I update that to ensure the card gets to me ? ."
118,apply credit card ,I applied for a credit card and
119,ask apt    try call past automate system   push hard finally get team lead reach tech ,"but i was never asked for my apt # , tried calling but could n't get past your automated system .. Had to push hard but finally got a team lead to reach out to on call tech ."
120,outage issue solve    csissue   csfail ,Outage issue solved ; # CSIssue not # CSFail .
121,receive ,I have n't received it as of yet .
122,contract delivery product seller ,And I have a contract with you for the delivery of product not with seller ..
123,appreciate get refund previous damage product ebay ,I would appreciate that I got the refund of my previous damaged product from eBay .
124,timeline delivery ,But where are the timelines for delivery ..
125,email address associate account    email    ,The email address associated with my account is _ _ email _ _ ..
126,look refund ,I 'm not looking for the refund .
127,check account condemn service bad packing ,Just check my account and you would yourself condemn your service and worst packing ..
128,provide refund ,and so you have provided me the refund for that .
129,mad product order product st ,But as I was mad about this product so I ordered the same product on 21st ..
130,delivery company say deliver street wo address seller say proof ,The delivery company is saying they delivered it to my street wo n't give address the seller is saying she has proof but no one will show me .
131,,Please do !
132,user   like hide irrelevant old contact suggestion   order room relevant one ,"“ As a user , I would like to hide irrelevant or old contacts from suggestions , in order to make room for relevant ones . ”"
133,  ,:) .
134,update tier point account thank ,can you please update my tier points on my account thanks ..
135,need active game pass order receive mystery gift giveaway   ,do you need a active game pass in order to receive the mystery gift from the giveaway ? .
136,happen system ,what happen to your system .
137,send refund info e form ,I could not sent my refund info to e form .
138,thank listen help issue today ,Thank you for listening and helping when I had an issue today .
139,great customer service ,Great customer service ..
140,terrible delivery service worse pay extra time slot   hourslate ,Terrible delivery service even worse paying extra for a time slot # 3hourslate .
141,hey   recieve wrong order report support   place new order ,"Hey , if I recieve the wrong order and reported it to support ... should I place a new order ?"
142,   ,Or what ... ? .
143,order mess ,order was messed up .
144,get   refund deserve money ,Got a $ 5 refund when I deserve my money back .
145,food taste horrible ,Food tasted horrible ..
146,thank respond ,Thank you for responding .
147,look forward work ,I look forward to working with you ..
148,hey godday chat support   ,hey godday do you have a chat support ? ?
149,issue m tryin sync merchandise printfull woocommerce ,I had an issue while i m tryin to sync merchandise from printfull to my woocommerce ...
150,log ,You have to log in .
151,remember email address ,I do n't remember the email address I used .
152,look account bank information   ,Can you look up the account by my bank information ? .
153,send email send guy say gon na charge ,They sent me the email I sent you guys that said I was n't gon na be charged .
154,able look account different way ,He must have been able to look up my account a different way ..
155,try phone number ,I tried my phone number
156,nt mobile account ,but I did nt have a mobile account .
157,go hour phone ,I went through this for 2 hours on the phone with someone ..
158,try ,I have tried .
159,s allow access account cancel membership   nt prime month ,"It ’s not allowing me to access my account to cancel my membership , I have n’t even used prime in almost 3 months .."
160,seriously ,Seriously ?
161,order identical washing bowl dispatch separate order ,I order 6 identical washing up bowls and they are all being dispatched as separate orders ?
162,phone buzzing non stop   ,My phone is buzzing non stop ! .
163,website offer pre order content ,But your website is offering pre order content ....
164,s lie   ,so it ’s just a lie ? .
165,ve cancel order go well buy ,I ’ve cancelled my order and gone to Best Buy .
166,thank ,Thank you ..
167,kindle work properly break heart ,My Kindle not working properly is breaking my heart !
168,,😩 💔 .
169,  time ,"it has , but not for some time now ."
170,ve try different apple id s show phone ,i ’ve tried with two different apple ids but it ’s still not showing up on my phone .
171,home share working fix ,why is my home sharing not working and how do i fix it .
172,iphone   yes io ,"iPhone 6 , yes ios11 ."
173,check update   available ,"Checked for updates , none available ."
174,ve swipe close app time ve restart x ,I ’ve swiped up to close the app several times and I ’ve restarted it 2x .
175,epl bana yardmc olur musun telefon internet konusunda cok yakyo napcaz   ,epıl bana yardımcı olur musun telefon internet konusunda çok yakıyo napcaz ? .
176,hi answerphone message delivery driver end say   fuck ,hi an answerphone message from your delivery driver ended with him saying ' fuck you '
177,  obviously think phone   ,( he obviously thought he 'd put the phone down ) .
178,flight dl cle ,I 'm On Flight DL4047 to CLE .
179,man moan pain sweating ,There is a man in 3A who is moaning in pain and sweating .
180,,He 's not well ..
181,dear cute flight attendant ,Dear cute flight attendant .
182,m board   sayin ,I ’m board ... just sayin ’ .
183,bummer ,Bummer !
184,promise info hurry flight forgot leave business card ,I promised them some info and in my hurry to get to my next flight forgot to leave my business card 😩 .
185,flight lax atl ,I was on flight 2222 LAX to ATL at 645am
186,try forward message fas   able assist   ,"I 'm trying to forward a message to one of the FAs , are you able to assist ? ."
187,book code share korean air flight   find confirmation   ticket   ke portion   ,booked a code share Korean Air flight on https://t.co/xFTVohudJC ; where can I find my confirmation # or ticket # for the KE portion ? .
188,macbook pro os x el capitan late spotify update   iphone s late software   spotify update   ,"using a MacBook Pro with OS X El Capitan and the latest Spotify update , and an iPhone 6S with the latest software / Spotify updates ! ."
189,try   point ,"She 's been trying to do that , that 's the point !"
190,contact phone email ,You should be contacting her as she ca n't get through to you via phone or email .
191,open account xfinity need modem ,I just opened an account with xfinity and needed the modem .
192,ship house pick   ,Will it be shipped to my house or do I have to pick it up ? .
193,call time   resolution   bill house live remains   run cancel account ,"I 've called 5 times , no resolution , bill for a house i do n't live in still remains , and you all give me the run around to cancel my account ."
194,go man internet ,what 's going on man where 's my internet .
195,phone hold past min ,been on phone and hold for past 45 mins .
196,look bleak ,looking bleak .
197,try book flight error come   system have trouble ,Trying to book a flight on and an error comes up : System having trouble .
198,have problem   ,Anyone else having problem ? .
199,hour total day work come ,8 hours total over 3 days and still working on coming back .
200,  ,Why ? .
201,yes   message   error play video   iphone ,"Yes , same message : error playing this video , iPhone 7 ."
202,welp ,Welp ...
203,guess bibimbap order gon na receive ,I guess that 's one bibimbap order I 'm never gon na receive .
204,good thing time order promotion ,Good thing I used a first time order promotion .
205,good impression ,Not a good first impression though ..
206,m phone tech look like ll day internet ,I ’m on the phone with your tech now looks like I ’ll be another day without internet .
207,nevermind ll internet til saturday smh ,Nevermind I ’ll be out of internet til Saturday smh .
208,play game say m old psn account delete system ,Whenever i go to play my game it says i m on my old psn account which i deleted of my system .
209,ve account like ,I ve used that account like once before .
210,hi ,Hi !
211,have issue old account   idea login   email ,"Having issue with an old account , no idea what the login / email is for it"
212,know i d ,but I know the ID .
213,get phone claim ,I got a phone call claiming to be you
214,discover nt ,but I discovered they were n’t .
215,number ,The number is +1(818)930 5703
216,try bribe   artboard worth brush work disappear twice work artboard ,They tried to bribe me .. and somehow three artboards worth of brush work disappeared twice out of nowhere while I was working on another artboard .
217,  train clapham junction surbiton leave early ,The 22.12 train from Clapham Junction to Surbiton left early .
218,train early week ,The only train to be early in weeks .
219,annoying ,Just as annoying ..
220,hey create second account ,hey if someone creates a second account
221,  play bad people high skill nt want play people consider cheat    ,so he / she can play worse people because they have a higher skill and do n’t want to play those people is that considered cheating ? ? .
222,saya nak tukar flight sbb reschedule ,saya nak tukar flight sbb reschedule .
223,book   yiunm ,booking # YIU8NM .
224,submit online request expect cancellation credit account pay ,I submitted an online request and expect a cancellation credit to my account as I would of had to pay .
225,thank   ,Thank you ! .
226,big lie account run   stop lie   public lie guy tell   tell hour waiting day ,"That 's a big lie otherwise my account would be up and running , stop lying , I 'll make it public all the lies your guys have told me , been told it would only take 48 hours been waiting 5 DAYS ."
227,paypal payment working start week ,Well paypal payment not working since the start of the week ..
228,phone warranty expire day ,my phone warranty had expired one day .
229,get phone w rep   austin   good customer service experience ve   ,"just got off the phone w/ a rep , Austin , can I just say that was one of the best customer service experiences I ’ve ever had ! ."
230,thank online order ,Thanks this was an online order
231,know yh nappy like month issue ,and I do n't know why but all yh nappies were like this and I have been using this for over 9 months and never has this issue .
232,hello ,hello
233,want know recently bough ann online grocery order baby nappy ,i want to know recently I bough Ann online grocery order what some baby nappies in them as well
234,nappy stay child reason half box like ,but the nappies would n't even stay on the child for some reason one half box was like that
235,leak call contact centre ,and they were leaking so I called contact centre
236,say nth ,and they said they ca n't do nth .
237,actually website order ,If you can actually get onto the website to order .......
238,  early hour   delivery saver christmas slot   early   lunch ashe   drink break ,"So when you say ' early hours ' for the delivery saver Christmas slots , just how early please , lunch in the Ashes , or first drinks break ?"
239,cheer   hello   m have issue day ship order ,"Cheers .. hello , I ’m having an issue with a same day ship order ."
240,help   ,Can you help me ? .
241,hey   prime day delivery arrive monday ,"Hey , why is your Prime 2 day delivery not arriving until Monday ?"
242,holiday know   ,Is there a holiday I do n't know about ? .
243,yes   amazonuk refund processif ,"yes i did , but amazonuk is not doing the refund process.if"
244,I ,they do it .i
245,money ,will get the money .
246,mail amazonuk time ,i mailed amazonuk so many time .
247,nt get progresscustomer care say s billing sectionno nt get refund ,but i have nt got any progress.customer care just saying that s in the billing section.no i have nt got refund .
248,legacy   share prime benefit   account try join amazon household prim ,"legacy "" shared prime benefits "" account trying to join an amazon household of the prim ."
249,account holder share echo set voice profile ,account holder to share echo and set up voice profile .
250,card ,No on the card .
251,work half time ,It works only half the time .
252,yes usps ,Yes on USPS .
253,delivery person wo nt deliver lbs ,They say my delivery person wo n’t deliver anything over 30 lbs .
254,send ,just sends it back .
255,yes   update ,"Yes , after the update ."
256,phone ,I Phone 7 .
257,music store phone like os ,But this does not show the music stored on my phone like it did in os3 .
258,want store music phone   watchos watch pointless browse music phone watch   reason buy s useless   iphone    io   ,"I do not want to store music on my phone .. watchOs4 made my watch pointless Browsing music on my phone via the watch was 80 % reason for buying it now it ’s useless .. iPhone 7 + , iOS 11.1 ."
259,reliable bluetooth iphone    new version io iphone ,still no reliable Bluetooth on my iPhone 8 + .. newest version of iOS and iPhone 7 .
260,iphone erase add email date til twice past hour ,My iPhone has erased and re added emails dating back from 2013 til now twice in the past 24 hours .
261,wth    ,Wth ? ? ?
262,have problem iphone say service ,Is anyone else having problems with there iPhone 7 saying no service ?
263,internal problem ,Internal problem .
264,suggestion help ,Any suggestions on how to help ?
265,m pay new phone nt cause damage ,I m not paying for a new phone because I did n’t cause the damage ..
266,work ,They could nothing worked .
267,go apple store lynnwood   guy try charge replacement phone s ,"I went into the Apple store in lynnwood , and the guy tried to charge me for a replacement phone although it ’s an ."
268,help ,HELP ME .
269,problem iphone ,I have a problem with my iPhone 7 😑 .
270,ve run test multiple platform ,I ’ve run the test across multiple platforms .
271,technician come resolve issue packet loss incredibly high ,I have a technician coming out to resolve the issue as the packet loss is incredibly high .
272,s definitely issue ,There ’s definitely an issue .
273,ve run multiple test cox   speed test   ookla ,"I ’ve run multiple tests across Cox , Speed test , and ookla ."
274,m get download ,I ’m getting around 11 18 download .
275,trace route   associate speak phone able provide ,"As for the trace routes , the associate I spoke with on the phone may be able to provide that ."
276,m get near ,But I ’m not getting anywhere near 300 down .
277,nt reach ,you have n’t “ reached out ” .
278,refund cost inedible food delay ,Please refund the cost of the inedible food without delay .
279,app work   wo let order food ,"My app does n't work ever , it wo n't let me order food ."
280,keep say need confirm phone number ,Keeps saying I need to confirm my phone number 🤦 🏽‍ ♂ ️ ///.
281,thank quick reply ,Thanks for the quick reply !
282,get work un   reinstall time   m maco high sierra ,"I got it to work after un / reinstalling a few times , but I ’m on MacOS High Sierra ."
283,look like version gaaaf ,Looks like version 1.0.68.407.g6864aaaf ?
284,m sure initial problem    s work ,"I ’m not sure what the initial problem was , but again , it ’s working now .."
285,facebook account method log ,I 'm using my facebook account as a method to log in ..
286,connection   notification phone loving ,"Over all connection , I get this notification from the phone as for loving in and out"
287,fresh install   luck   ,"I did a fresh install , no luck ! ."
288,song order order add   make sense   ,is there anyway to move songs around so they 're in my order and not the order of when I added them ... if that makes sense ? .
289,charge   phone book flight cost   ,"you have charged me 32.19 for a phone call to book my flights which cost £ 3,700 ."
290,try check online flight usa say need esta valid till ,Am trying to check in online for a flight to USA however it is saying in need an esta which I have and is valid till 2019 .
291,  mobilecarexi ,# mobile_CareXI
292,xfinity internet work ,My Xfinity internet is not working .
293,help   ,Can you help ? .
294,post phone g   home   amp   cable   internet   like th time month ,"Posting from phone on 4 G , even though I 'm home & amp ; have cable / internet ... for like the 8th time this month ."
295,guess ,One guess why .
296,frustrated ,Frustrated .
297,hey hurry gigabit internet great ,Hey if you could hurry up with gigabit internet that 'd be great !
298,need upload speed   ,I need more upload speed ! .
299,buy flight pass tell guy baby chucky possess scream ,Bought a flight pass to tell you guys this baby is still Chucky possessed screaming .
300,seat available cabin one ,Only seats available in cabin are the ones around me ..
301,yo   m flight c   dfw paris   sit loud baby ve hear life ,"Yo , I ’m on flight 48 32C ( DFW to Paris ) and sitting next to THE loudest baby I ’ve ever heard in my life ."
302,upgrade   ,How about an upgrade ? .
303,u confirm long delay train london euston bham new street   ,can u confirm how long was the delay for 2043 train from London Euston to Bham New Street on 23/11/17 ?
304,train announcer announce min late ,Train announcer even announced it 45mins late .
305,m get reply refund claim min ,But I ’m getting reply for my refund claim that it was 9mins .
306,pls   amptq ,Pls & amp;Tq .
307,ahead close account ,Here its 615787351 and just go ahead and close the account i am done with you .
308,chase cancel rr visa ,I will call chase and cancel out my RR Visa .
309,adio ,adios .
310,uber driver drive wrong location   make wo provide proper refund   delete   fail sup ,"Uber driver drove me to wrong location , makes me get out anyway and wo n't provide a proper refund 🙃 🙃 🙃 # Delete # Fail Sup 😘 😘 😘 ."
311,thank ,Thanks .
312,m international flight ,I ’m on an international flight
313,ve get time   ,so I ’ve got time . 🙂 .
314,thx reply ,Thx for reply .
315,understand concern safety ,Understand the concern for safety .
316,great flight appreciate get home safe busy holiday weekend ,Otherwise great flight appreciate getting us home safe during very busy holiday weekend ..
317,check flight s tomorrow move seat ,I checked in for my flight that ’s tomorrow and I was moved seats .
318,originally aisle ,I was originally on the aisle .
319,m hope help   ,I ’m hoping you can help ? .
320,disappointed yesterday flight wifi offer work ,I was disappointed yesterday in flight 2468 when WIFI was offered but it did not work .
321,nt work plan ,I could n’t get work I planned on doing done ..
322,flight attendant pilot flight short amazing ,The flight attendant and pilot on flight 4985 were nothing short of amazing .
323,super kind   helpful   funny ,"Super kind , helpful , and funny ."
324,wish crew time fly   ,Wish they were my crew every time I fly ! .
325,go service center   amp   speak sup ,I went to the service center & amp ; spoke to a sup .
326,nt refund   deliver bag ,Would n’t refund my $ 75 OR deliver bags .
327,nt write tell voluntarily separate bag ,She could n’t show me in writing nor was I told I was ‘ voluntarily ’ separating from my bag .
328,say cost delta deliver bag ,🙄 Said it would cost Delta to deliver my bag .
329,apparently   flight year mean ,Apparently 60 + flights a year means nothing ..
330,hey go charge early flight   luggage flight tell nt deliver luggage b ,"Hey how are you going to charge me to move to an earlier flight , not move my luggage to my flight and THEN tell me you ca n’t deliver my luggage b"
331,  c voluntarily separate   ,/ c I ‘ voluntarily separated ’ from it ? !
332,nt voluntarily leave bag ,I did n’t ‘ voluntarily ’ leave my bag . 🤷
333,,🏼‍ ♀
334,hi   hear phone correspondence early ,"Hi , I heard back over the phone after our correspondence earlier ."
335,happy accommodation   amp   understand ,I am happy with the accommodation & amp ; understand you can not do both .
336,thank appreciate get ,Thank you and I appreciate your getting back to me ..
337,get flight ground ,how about getting flight 1704 off the ground .
338,internet go hour ,still no internet going on 15 hours .
339,talk afternoon aware ,I already talk to someone this afternoon and they are aware .
340,  disappoint   frustrating ,# disappointed # Frustrating .
341,automatic camera upload ,I 'm using automatic camera upload .
342,issue occur take picture ,The issue seems to occur after taking even just 1 picture .
343,offline file phone ,I 'm not using offline files on my phone .
344,see similar issue mention google play store review comment ,I have seen similar issues mentioned in the Google play store review comments .
345,issue late android version ,there seems to be an issue with the latest Android version .
346,battery drain ,Battery drains .
347,  battery consume dropbox app ,10 to 20 % of battery is being consumed by the Dropbox app .
348,fix nice ,A fix would be nice https://t.co/LXr4BBXFXG .
349,offer pay iphone x oppose monthly payment plan   ,Do you offer paying for the iPhone X in full as opposed to the monthly payment plan ? .
350,account get take y gamer tag talibankelo ,My account gotten took can y all get it the gamer tag is TalibanKelo508 .
351,issue marvel vs capcom dlc ,I have an issue with marvel vs capcom dlc .
352,like refund ,I would like a refund .
353,  ,How do I go about it ? .
354,  ve call customer service time nt resolve issue ,"Well , I ’ve already called customer service three times and they still have n’t resolved my issue"
355,suppose ll send dm ,but I supposed I ’ll send a DM and see if there is anything you can do ..
356,need weekly sale report    ,I need my weekly sales report from 10/1 10/7 .
357,continue   philippine issue fix   doubt help   ,Will continue to call the # Philippines until this issue is fixed ( though I doubt this helps ) ..
358,hi   follow link   dropbox ask log biz account ,"hi , when I follow the link , dropbox asks me to log in with my biz account ."
359,want apply personal account ,I want to apply it to my personal account .
360,go branch tell possible set monthly electronic payment business account bofa keybank ,I went into my Branch and was told it was not possible to set up monthly electronic payment into a business account at BofA. Used KeyBank ..
361,want pay shop rent new landlord ,Just wanted to pay my shop rent to new landlord .
362,amazing ,Amazing .
363,use key bank account set payment bank america account ,Had to use my Key Bank account to set up payments to the Bank of America account ..
364,bank america strike ,Bank of America strikes out again .
365,set reoccurring electronic deposit account business account bank   ,They can not set up a reoccurring electronic deposit from my account to a business account at their bank ! .
366,  muyiwa dele olatunde   zip   phone     account type   check   amp   saving ,Name : Muyiwa Dele Olatunde ; Zip:30093 ; Phone # : 7703743799 ; Account Type : Checking & amp ; Savings .
367,big thks d social medium team ur prompt intervention   amp   resolution ,Big thks 2 d social media team 4 ur prompt intervention & amp ; resolution .
368,await d feedback d pende issue ,I however await d feedback on d pending issue though .
369,thks ,Thks once again .
370,funny ,funny
371,cancel little brother account contact hmm ,how I ca n't cancel my little brothers account or contact you about it hmm .
372,thankyou ,Thankyou
373,find link uk   player preview jargon confusing   think sign order game ,"I found a link for the UK , the player preview jargon is still very confusing , thought I had to be Signed up to order The game ."
374,fume right argo   mean delivery tonight pm - pm nt    ,fuming right now with argos ! was meant to have a delivery tonight between 7pm-10pm and did n’t even show up ! ? .
375,help order supposed come today ,please help my order was supposed to come today
376,arrive ,and it 's not arrived !
377,web chat help      ,Web chat are no help at all ! ! ! ! .
378,d screen ,I ’d still rather have a screen though .
379,cause neck problem look flight tablet ,Rather not cause neck problems looking down all flight at a tablet .
380,,Really ..
381,hour international flight seat entertainment screen   cm ,7hour international flight and no seat back entertainment screens .. c’m on .
382,flight attenant flight bdl ord awesome ,Just have to say the Flight Attenants on Flight 1361 from BDL to ORD we ’re awesome !
383,gate agent bdl ,Gate agents at BDL also !
384,need shout awesome customer service ,They need a shout out for awesome customer service !
385,treat nonrev    ,Treated this NonRev very well ! ! .
386,yes ,Yes I see that .
387,app say incoming flight arrive   go    ,Your app says the incoming flight arrives at 10:05 so how are we going to take off at 10:10 ? https://t.co/vZxyxOa1xo .
388,s go flight dtw   gt   dfw ,what ’s going on with flight 301 DTW & gt ; DFW ?
389,delay hour ,Delayed over 3 hours .
390,cancel   ,Will it be canceled ? .
391,issue ,But that 's really not the issue .
392,issue habitually inconvenience customer base display demeanor normal practice airline industry accommodation offer inconvenience unsatisfied customer   ,The issue is habitually inconveniences its customer base and displays a demeanor that its a normal practice in the airlines industry with no above and beyond accommodations offered to its inconvenienced and unsatisfied customers ! .
393,stuck flight charlotte minute computer card tech issue pilot repeatedly advise   minute   fix ,"stuck on flight 609 in Charlotte over 55 minutes due to a computer card tech issue while pilot repeatedly advised it would only take a "" few minutes "" to fix ."
394,issue report previous pilot arrive minute b board effort save time   ,Why was n't this issue reported by previous pilot that arrived minutes b4 we boarded in effort to save time ? .
395,assume come tho incident ,So I assume nothing is coming from tho incident .
396,day complaint desk person flight tweet ,It has been several days since we made a complaint at the desk in person after the flight and this tweet .
397,pretty blow concernnto act battery plane child ,Pretty much you blew off any concernnto a act of battery on the plane against a child .
398,ridiculous     ,This is ridiculous ! ! ! .
